id catagory_id speed power maxQ maxP absP
575 25 210 630 535 550 350
576 25 240 800 600 550 350
577 25 270 900 675 550 350
578 25 300 1120 755 550 350
579 25 190 560 496 550 400
580 25 210 630 545 550 400
581 25 240 800 612 550 400
582 25 270 900 690 550 400
583 25 300 1120 770 550 400
584 25 190 560 513 550 550
585 25 210 630 562 550 550
586 25 240 800 630 550 550
587 25 270 900 710 550 550
588 25 300 1120 790 550 550
589 26 170 900 675 550 200
590 26 190 1120 755 550 200
591 26 210 1250 840 550 200
592 26 225 1600 940 550 200
593 26 240 1800 1020 550 200
594 26 170 900 730 550 250
595 26 190 1120 800 550 250
596 26 210 1250 875 550 250
597 26 225 1600 975 550 250
598 26 240 1800 1055 550 250
599 26 170 900 800 550 350
600 26 190 1120 865 550 350
601 26 210 1250 950 550 350
602 26 225 1600 1040 550 350
603 26 240 1800 1127 550 350
604 26 170 900 820 550 400
605 26 190 1120 875 550 400
606 26 210 1250 970 550 400
607 26 225 1600 1060 550 400
608 26 240 1800 1160 550 400
609 26 170 900 850 550 550
610 26 190 1120 920 550 550
611 26 210 1250 1000 550 550
612 26 225 1600 1100 550 550
613 26 240 1800 1200 550 550
